pm2_5,pm10,temperature_2m,relative_humidity_2m,wind_speed_10m,hour,day_of_week,pm2_5_lag_1,pm2_5_lag_3,pm2_5_rolling_mean_6,high_pollution_next_hour
105.9,998.4,41.8,7,10.4,14,1,96.4,78.5,82.28333333333333,0
108.7,1043.1,41.9,7,12.0,15,1,105.9,86.4,87.86666666666667,0
114.6,1099.0,41.5,7,13.6,16,1,108.7,96.4,92.63333333333333,0
123.4,1169.7,40.9,7,13.6,17,1,114.6,105.9,98.41666666666667,0
131.8,1236.8,40.3,8,10.2,18,1,123.4,108.7,105.89999999999999,1
153.7,1356.0,39.5,8,11.8,19,1,131.8,114.6,113.46666666666668,0
136.4,1128.8,38.5,9,11.9,20,1,153.7,123.4,123.0166666666667,0
118.0,914.6,38.0,9,11.9,21,1,136.4,131.8,128.1,0
103.4,760.0,37.2,9,11.3,22,1,118.0,153.7,129.65,0
95.7,696.6,36.2,10,10.0,23,1,103.4,136.4,127.78333333333335,0
84.3,583.0,34.9,11,7.1,0,2,95.7,118.0,123.16666666666669,0
70.8,451.7,33.9,11,6.7,1,2,84.3,103.4,115.25,0
54.1,293.4,32.9,13,5.1,2,2,70.8,95.7,101.43333333333332,0
50.2,266.4,33.1,16,3.5,3,2,54.1,84.3,87.71666666666665,0
44.1,232.4,32.0,14,4.3,4,2,50.2,70.8,76.41666666666667,0
41.1,210.5,31.0,14,5.4,5,2,44.1,54.1,66.53333333333333,0
38.1,179.7,30.9,15,5.5,6,2,41.1,50.2,57.43333333333334,0
47.4,259.8,32.7,12,3.9,7,2,38.1,44.1,49.73333333333333,0
57.3,397.7,35.4,10,3.7,8,2,47.4,41.1,45.833333333333336,0
68.2,601.6,37.6,9,4.6,9,2,57.3,38.1,46.36666666666667,0
80.3,773.0,39.2,8,6.6,10,2,68.2,47.4,49.366666666666674,0
90.3,882.9,40.5,7,9.2,11,2,80.3,57.3,55.4,0
105.5,1031.9,41.4,7,11.4,12,2,90.3,68.2,63.6,0
120.1,1166.0,42.1,7,12.4,13,2,105.5,80.3,74.83333333333333,0
138.8,1359.7,42.4,7,13.9,14,2,120.1,90.3,86.95,1
152.3,1482.7,42.5,7,13.2,15,2,138.8,105.5,100.53333333333335,1
163.0,1568.3,42.5,6,15.4,16,2,152.3,120.1,114.55,1
176.0,1665.2,41.9,6,16.3,17,2,163.0,138.8,128.33333333333334,1
197.4,1821.7,41.1,7,14.9,18,2,176.0,152.3,142.61666666666667,1
211.9,1773.2,39.9,7,13.7,19,2,197.4,163.0,157.93333333333337,1
205.8,1709.9,39.2,8,14.3,20,2,211.9,176.0,173.23333333333335,1
189.5,1579.5,38.8,8,14.4,21,2,205.8,197.4,184.4,1
164.4,1363.5,37.8,9,11.2,22,2,189.5,211.9,190.60000000000002,0
136.0,1072.9,36.3,9,8.6,23,2,164.4,205.8,190.83333333333334,0
114.3,866.1,35.0,10,6.9,0,3,136.0,189.5,184.16666666666666,0
100.8,748.8,34.0,11,5.8,1,3,114.3,164.4,170.31666666666666,0
92.4,679.9,33.1,12,5.9,2,3,100.8,136.0,151.79999999999998,0
82.2,575.6,32.8,13,5.7,3,3,92.4,114.3,132.9,0
74.3,499.2,31.9,13,6.7,4,3,82.2,100.8,115.01666666666667,0
71.7,473.1,31.1,13,6.7,5,3,74.3,92.4,100.0,0
73.1,473.1,31.3,13,6.7,6,3,71.7,82.2,89.28333333333335,0
84.8,542.0,32.8,12,4.9,7,3,73.1,74.3,82.41666666666667,0
88.0,616.5,35.2,10,4.9,8,3,84.8,71.7,79.75,0
93.1,771.1,37.5,9,5.0,9,3,88.0,73.1,79.01666666666667,0
103.1,968.6,39.3,8,8.4,10,3,93.1,84.8,80.83333333333333,0
125.7,1188.4,40.6,7,11.0,11,3,103.1,88.0,85.63333333333333,0
139.2,1300.1,41.6,7,12.5,12,3,125.7,93.1,94.63333333333333,1
153.7,1464.0,42.2,6,14.5,13,3,139.2,103.1,105.64999999999999,1
172.3,1628.0,42.7,6,15.0,14,3,153.7,125.7,117.13333333333333,1
176.0,1642.9,43.1,6,17.3,15,3,172.3,139.2,131.18333333333334,1
194.2,1791.9,42.8,6,16.9,16,3,176.0,153.7,145.0,1
202.6,1847.7,42.3,6,17.7,17,3,194.2,172.3,160.1833333333333,1
220.7,1959.5,41.6,6,16.8,18,3,202.6,176.0,173.0,1
224.4,1832.8,40.4,7,13.2,19,3,220.7,194.2,186.58333333333334,1
211.9,1721.1,39.3,8,12.8,20,3,224.4,202.6,198.36666666666665,1
190.0,1553.4,38.9,8,12.1,21,3,211.9,220.7,204.96666666666667,1
163.0,1318.8,38.0,9,10.8,22,3,190.0,224.4,207.29999999999998,0
136.4,1046.8,37.2,9,9.5,23,3,163.0,211.9,202.1,0
118.0,877.3,35.6,10,7.0,0,4,136.4,190.0,191.0666666666667,0
108.0,793.5,34.2,11,7.3,1,4,118.0,163.0,173.95000000000002,0
101.3,743.2,33.4,12,5.8,2,4,108.0,136.4,154.54999999999998,0
120.1,895.9,33.4,13,4.9,3,4,101.3,118.0,136.11666666666667,0
95.5,624.0,32.5,13,6.0,4,4,120.1,108.0,124.46666666666668,0
82.2,491.7,31.7,14,5.3,5,4,95.5,101.3,113.21666666666668,0
77.3,443.3,31.6,13,6.4,6,4,82.2,120.1,104.18333333333334,0
86.4,504.8,33.3,12,4.6,7,4,77.3,95.5,97.39999999999999,0
93.8,627.7,35.9,10,4.1,8,4,86.4,82.2,93.8,0
105.5,823.3,38.1,8,5.1,9,4,93.8,77.3,92.55,0
115.0,1035.6,39.9,7,6.2,10,4,105.5,86.4,90.11666666666667,0
135.5,1233.1,41.2,7,8.2,11,4,115.0,93.8,93.36666666666667,0
145.3,1352.3,42.1,7,10.6,12,4,135.5,105.5,102.25,0
148.5,1393.3,42.7,7,11.9,13,4,145.3,115.0,113.58333333333333,1
152.7,1438.0,43.1,7,13.5,14,4,148.5,135.5,123.93333333333334,1
174.2,1624.2,43.3,6,16.3,15,4,152.7,145.3,133.75,1
185.8,1709.9,43.1,6,15.6,16,4,174.2,148.5,145.2,1
197.4,1795.6,42.6,7,17.7,17,4,185.8,152.7,157.0,1
212.8,1888.7,41.7,7,17.6,18,4,197.4,174.2,167.31666666666666,1
210.9,1732.3,40.6,8,15.1,19,4,212.8,185.8,178.5666666666667,1
192.8,1583.2,40.0,8,12.6,20,4,210.9,197.4,188.96666666666667,1
166.7,1352.3,39.1,8,10.1,21,4,192.8,212.8,195.65,0
137.4,1039.4,37.9,9,9.1,22,4,166.7,210.9,194.4,0
116.2,830.7,36.6,10,6.9,23,4,137.4,192.8,186.33333333333334,0
105.7,741.3,35.4,11,6.3,0,5,116.2,166.7,172.79999999999998,0
92.4,625.8,34.6,12,4.8,1,5,105.7,137.4,154.95000000000002,0
72.9,433.1,33.9,13,3.4,2,5,92.4,116.2,135.20000000000002,0
66.8,406.1,34.0,15,3.0,3,5,72.9,105.7,115.21666666666668,0
53.2,302.7,32.8,13,4.9,4,5,66.8,92.4,98.56666666666666,0
48.3,261.7,32.0,14,4.5,5,5,53.2,72.9,84.53333333333335,0
47.7,247.7,31.9,14,4.9,6,5,48.3,66.8,73.21666666666667,0
50.3,205.4,34.0,12,4.0,7,5,47.7,53.2,63.55000000000001,0
50.5,204.0,37.0,9,2.6,8,5,50.3,48.3,56.53333333333333,0
52.7,261.7,39.2,8,1.1,9,5,50.5,47.7,52.79999999999999,0
46.2,277.5,41.2,7,2.3,10,5,52.7,50.3,50.45000000000001,0
43.8,291.5,42.6,7,5.1,11,5,46.2,50.5,49.28333333333333,0
50.5,387.4,43.5,6,9.2,12,5,43.8,52.7,48.53333333333333,0
64.0,553.2,44.1,6,9.3,13,5,50.5,46.2,49.0,0
77.3,707.8,44.6,6,8.3,14,5,64.0,43.8,51.28333333333333,0
103.1,987.2,44.5,6,11.2,15,5,77.3,50.5,55.75,0
99.9,961.1,44.2,6,13.2,16,5,103.1,64.0,64.14999999999999,0
102.0,979.8,43.4,6,15.1,17,5,99.9,77.3,73.10000000000001,0
109.9,1050.5,42.7,6,14.0,18,5,102.0,103.1,82.8,0
129.9,1154.8,42.0,6,13.0,19,5,109.9,99.9,92.7,0
119.0,964.9,40.8,7,10.4,20,5,129.9,102.0,103.68333333333334,0
124.3,1024.5,39.7,8,8.3,21,5,119.0,109.9,110.63333333333334,0
136.9,1154.8,38.3,8,8.7,22,5,124.3,129.9,114.16666666666667,0
144.4,1199.5,37.1,9,6.7,23,5,136.9,119.0,120.33333333333333,0
135.5,1099.0,36.1,10,6.8,0,6,144.4,124.3,127.40000000000002,0
116.4,912.7,35.1,10,7.3,1,6,135.5,136.9,131.66666666666666,0
98.5,737.6,34.1,11,7.9,2,6,116.4,144.4,129.41666666666666,0
141.6,1139.9,33.7,12,7.1,3,6,98.5,135.5,126.0,0
121.5,931.3,32.7,12,7.6,4,6,141.6,116.4,128.88333333333335,0
104.1,750.6,31.8,13,7.3,5,6,121.5,98.5,126.31666666666668,0
85.9,558.8,31.6,13,5.4,6,6,104.1,141.6,119.59999999999998,0
81.0,469.4,33.0,12,4.7,7,6,85.9,121.5,111.33333333333333,0
64.3,403.3,35.3,11,4.1,8,6,81.0,104.1,105.43333333333334,0
62.9,484.3,37.6,9,4.6,9,6,64.3,85.9,99.73333333333333,0
65.7,579.3,39.5,8,5.2,10,6,62.9,81.0,86.61666666666666,0
67.1,622.1,40.9,7,7.2,11,6,65.7,64.3,77.31666666666666,0
81.7,791.6,41.9,7,9.6,12,6,67.1,62.9,71.14999999999999,0
99.2,968.6,42.7,6,11.2,13,6,81.7,65.7,70.45,0
118.0,1143.7,43.1,6,12.4,14,6,99.2,67.1,73.48333333333333,0
144.8,1415.6,43.1,6,14.2,15,6,118.0,81.7,82.43333333333334,0
143.9,1400.7,42.9,6,13.8,16,6,144.8,99.2,96.08333333333333,0
147.1,1426.8,42.4,6,14.9,17,6,143.9,118.0,109.11666666666667,1
156.0,1493.8,41.5,6,15.2,18,6,147.1,144.8,122.45,1
177.4,1538.5,40.2,7,12.9,19,6,156.0,143.9,134.83333333333334,1
170.0,1452.9,39.0,8,13.0,20,6,177.4,147.1,147.86666666666667,1
161.1,1363.5,38.2,8,11.6,21,6,170.0,156.0,156.53333333333333,0
148.1,1229.3,37.2,8,9.8,22,6,161.1,177.4,159.25,0
132.2,1076.6,36.1,9,7.4,23,6,148.1,170.0,159.95,0
117.6,942.5,34.8,10,6.8,0,0,132.2,161.1,157.46666666666667,0
104.5,823.3,33.9,10,6.9,1,0,117.6,148.1,151.06666666666663,0
95.2,743.2,32.9,11,7.0,2,0,104.5,132.2,138.91666666666666,0
110.1,881.0,32.8,11,6.9,3,0,95.2,117.6,126.44999999999999,0
108.5,868.0,31.8,11,8.3,4,0,110.1,104.5,117.94999999999999,0
106.2,843.8,31.0,12,7.7,5,0,108.5,95.2,111.35000000000001,0
108.7,866.1,31.3,12,7.2,6,0,106.2,110.1,107.01666666666665,0
132.2,979.8,32.8,11,6.7,7,0,108.7,108.5,105.53333333333335,0
118.7,968.6,35.5,10,8.6,8,0,132.2,106.2,110.15000000000002,0
122.0,1106.4,37.7,10,11.6,9,0,118.7,108.7,114.06666666666666,0
133.6,1281.5,39.1,10,12.8,10,0,122.0,132.2,116.05,1
152.7,1460.3,40.3,8,14.3,11,0,133.6,118.7,120.23333333333333,1
170.4,1616.8,41.4,7,16.9,12,0,152.7,122.0,127.98333333333335,1
189.5,1777.0,42.1,6,19.4,13,0,170.4,133.6,138.26666666666668,1
208.6,1937.2,42.5,6,19.9,14,0,189.5,152.7,147.8166666666667,1
230.5,2086.2,42.8,6,20.9,15,0,208.6,170.4,162.79999999999998,1
240.3,2160.7,42.4,6,21.2,16,0,230.5,189.5,180.88333333333333,1
248.7,2212.8,41.7,6,20.8,17,0,240.3,208.6,198.66666666666666,1
262.6,2279.9,40.8,7,18.4,18,0,248.7,230.5,214.66666666666666,1
263.6,2168.1,39.8,7,14.2,19,0,262.6,240.3,230.03333333333333,1
238.0,1881.3,38.7,7,13.4,20,0,263.6,248.7,242.38333333333335,1
219.3,1765.8,38.0,8,13.6,21,0,238.0,262.6,247.28333333333333,1
203.0,1668.9,37.0,8,12.8,22,0,219.3,263.6,245.41666666666666,1
191.9,1598.1,36.3,9,12.4,23,0,203.0,238.0,239.20000000000002,1
182.5,1531.1,35.6,9,11.4,0,1,191.9,219.3,229.73333333333335,1
177.9,1493.8,34.8,10,10.6,1,1,182.5,203.0,216.38333333333335,1
177.9,1475.2,33.5,11,9.1,2,1,177.9,191.9,202.1,1
219.8,1765.8,34.2,10,10.1,3,1,177.9,182.5,192.08333333333334,1
212.3,1713.6,32.7,11,8.8,4,1,219.8,177.9,192.16666666666666,1
198.4,1601.9,31.7,13,8.0,5,1,212.3,177.9,193.71666666666667,1
185.3,1497.6,31.7,13,8.0,6,1,198.4,219.8,194.80000000000004,1
180.2,1434.2,32.8,13,6.4,7,1,185.3,212.3,195.26666666666668,1
151.3,1270.3,34.7,13,7.5,8,1,180.2,198.4,195.65,1
154.6,1400.7,36.9,12,9.3,9,1,151.3,185.3,191.21666666666667,1
166.2,1575.8,38.9,9,12.6,10,1,154.6,180.2,180.35000000000002,1
172.3,1635.4,40.2,9,16.8,11,1,166.2,151.3,172.66666666666666,1
190.5,1803.0,41.3,8,19.1,12,1,172.3,154.6,168.31666666666666,1
217.5,2019.1,42.1,8,21.4,13,1,190.5,166.2,169.1833333333333,1
238.0,2175.6,42.6,7,22.2,14,1,217.5,172.3,175.4,1
294.3,2563.0,42.7,7,23.4,15,1,238.0,190.5,189.85000000000002,1
300.8,2607.7,42.3,8,22.2,16,1,294.3,217.5,213.13333333333335,1
300.8,2577.9,41.7,8,21.8,17,1,300.8,238.0,235.5666666666667,1
307.3,2563.0,40.8,8,21.1,18,1,300.8,294.3,256.98333333333335,1
299.0,2361.8,39.7,9,17.3,19,1,307.3,300.8,276.45,1
274.7,2175.6,38.7,10,16.1,20,1,299.0,300.8,290.03333333333336,1
246.8,1899.9,38.2,11,15.0,21,1,274.7,307.3,296.15000000000003,1
224.0,1769.5,37.3,12,12.4,22,1,246.8,299.0,288.2333333333333,1
203.5,1646.6,36.2,13,8.5,23,1,224.0,274.7,275.43333333333334,1
183.5,1490.1,35.1,15,7.6,0,2,203.5,246.8,259.21666666666664,1
157.4,1259.1,34.1,16,7.5,1,2,183.5,224.0,238.58333333333334,0
